date,hospitalized,hospitalized_delta,hospitalized_mva10,icu,icu_delta,icu_mva10,deaths,deaths_delta,deaths_mva10
2020-03-28,114,,,41,,,14,,
2020-03-29,169,55,,62,21,,16,2,
2020-03-30,215,46,,75,13,,27,11,
2020-03-31,270,55,,91,16,,37,10,
2020-04-01,320,50,,101,10,,53,16,
2020-04-02,381,61,,116,15,,67,14,
2020-04-03,422,41,,128,12,,94,27,
2020-04-04,496,74,,146,18,,119,25,
2020-04-05,538,42,,157,11,,132,13,
2020-04-06,575,37,,165,8,,153,21,
2020-04-07,656,81,54.2,190,25,14.9,174,21,16.0
2020-04-08,720,64,55.1,212,22,15.0,200,26,18.4
2020-04-09,786,66,57.1,234,22,15.9,222,22,19.5
2020-04-10,859,73,58.9,253,19,16.2,253,31,21.6
2020-04-11,908,49,58.8,259,6,15.8,274,21,22.1
2020-04-12,954,46,57.3,274,15,15.8,291,17,22.4
2020-04-13,995,41,57.3,285,11,15.7,334,43,24.0
2020-04-14,1072,77,57.6,303,18,15.7,385,51,26.6
2020-04-15,1137,65,59.9,313,10,15.6,423,38,29.1
2020-04-16,1190,53,61.5,327,14,16.2,478,55,32.5
2020-04-17,1237,47,58.1,338,11,14.8,514,36,34.0
2020-04-18,1306,69,58.6,355,17,14.3,553,39,35.3
2020-04-19,1349,43,56.3,361,6,12.7,584,31,36.2
2020-04-20,1394,45,53.5,368,7,11.5,622,38,36.9
2020-04-21,1452,58,54.4,382,14,12.3,659,37,38.5
2020-04-22,1508,56,55.4,391,9,11.7,713,54,42.2
2020-04-23,1559,51,56.4,397,6,11.2,763,50,42.9
2020-04-24,1617,58,54.5,414,17,11.1,811,48,42.6
2020-04-25,1660,43,52.3,421,7,10.8,835,24,41.2
2020-04-26,1701,41,51.1,429,8,10.2,892,57,41.4
2020-04-27,1736,35,49.9,437,8,9.9,951,59,43.7
2020-04-28,1798,62,49.2,448,11,9.3,996,45,44.3
2020-04-29,1881,83,53.2,457,9,9.6,1082,86,49.8
2020-04-30,1943,62,54.9,473,16,10.5,1121,39,49.9
2020-05-01,1987,44,53.5,479,6,9.7,1176,55,51.7
2020-05-02,2100,113,59.2,501,22,11.0,1216,40,50.3
2020-05-03,2168,68,60.9,515,14,11.8,1300,84,53.7
2020-05-04,2225,57,60.8,524,9,11.0,1361,61,55.0
2020-05-05,2285,60,62.5,542,18,12.1,1429,68,59.4
2020-05-06,2342,57,64.1,548,6,11.9,1477,48,58.5
2020-05-07,2428,86,69.2,560,12,12.3,1540,63,58.9
2020-05-08,2487,59,68.9,575,15,12.7,1599,59,60.3
